municipality_code,municipality_name,comarca_code,comarca_name,reference_period,origin_name,destination_lat,destination_lon,drive_minutes,road_distance_km,routing_engine,routing_profile,routing_date,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2026-08-21,"Plaça de Catalunya, Barcelona",41.516171,1.902602,40.588667,34.54,openrouteservice,driving-car,2026-08-21,100,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,100,100,100,,official,default,true
080023,Aguilar de Segarra,07,Bages,2026-08-21,"Plaça de Catalunya, Barcelona",41.739169,1.631966,66.078167,81.98,openrouteservice,driving-car,2026-08-21,88.2899,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,88.2899,88.2899,100,,official,default,true
080039,Alella,21,Maresme,2026-08-21,"Plaça de Catalunya, Barcelona",41.493732,2.294957,24.666667,18.08,openrouteservice,driving-car,2026-08-21,100,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,100,100,100,,official,default,true
080044,Alpens,43,Lluçanès,2026-08-21,"Plaça de Catalunya, Barcelona",42.119321,2.101273,99.868667,121.29,openrouteservice,driving-car,2026-08-21,70.0657,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,70.0657,70.0657,100,,official,default,true
080057,l'Ametlla del Vallès,41,Vallès Oriental,2026-08-21,"Plaça de Catalunya, Barcelona",41.673301,2.259256,43.677833,36.06,openrouteservice,driving-car,2026-08-21,100,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,100,100,100,,official,default,true
080060,Arenys de Mar,21,Maresme,2026-08-21,"Plaça de Catalunya, Barcelona",41.579385,2.551498,40.795833,43.2,openrouteservice,driving-car,2026-08-21,100,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,100,100,100,,official,default,true
080076,Arenys de Munt,21,Maresme,2026-08-21,"Plaça de Catalunya, Barcelona",41.608993,2.540381,41.6845,44.05,openrouteservice,driving-car,2026-08-21,100,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,100,100,100,,official,default,true
080082,Argençola,06,Anoia,2026-08-21,"Plaça de Catalunya, Barcelona",41.597833,1.443555,73.0055,82.92,openrouteservice,driving-car,2026-08-21,84.4414,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,84.4414,84.4414,100,,official,default,true
080095,Argentona,21,Maresme,2026-08-21,"Plaça de Catalunya, Barcelona",41.554727,2.400664,35.740167,32.59,openrouteservice,driving-car,2026-08-21,100,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,100,100,100,,official,default,true
080109,Artés,07,Bages,2026-08-21,"Plaça de Catalunya, Barcelona",41.798194,1.953516,55.890167,68.93,openrouteservice,driving-car,2026-08-21,93.9499,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,93.9499,93.9499,100,,official,default,true
080116,Avià,14,Berguedà,2026-08-21,"Plaça de Catalunya, Barcelona",42.077717,1.825612,77.6535,102.84,openrouteservice,driving-car,2026-08-21,81.8592,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,81.8592,81.8592,100,,official,default,true
080121,Avinyó,07,Bages,2026-08-21,"Plaça de Catalunya, Barcelona",41.863753,1.971318,62.084667,76.12,openrouteservice,driving-car,2026-08-21,90.5085,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,90.5085,90.5085,100,,official,default,true
080137,Avinyonet del Penedès,03,Alt Penedès,2026-08-21,"Plaça de Catalunya, Barcelona",41.361031,1.777332,53.453833,58.25,openrouteservice,driving-car,2026-08-21,95.3034,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,95.3034,95.3034,100,,official,default,true
080142,Aiguafreda,24,Osona,2026-08-21,"Plaça de Catalunya, Barcelona",41.767986,2.250545,54.7455,48.59,openrouteservice,driving-car,2026-08-21,94.5858,90,municipality,openrouteservice_osm,,2026-08-21T18:07:52Z,0.2.0,,,complete,94.5858,94.5858,100,,official,default,true
