municipality_code,municipality_name,comarca_code,comarca_name,reference_period,sales_count,avg_surface_m2,avg_sale_price_eur,sale_price_eur_m2,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2025,119,129.27,270219.99,2189.27,49.8844,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,49.8844,49.8844,100,,official,default,true
080023,Aguilar de Segarra,07,Bages,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080039,Alella,21,Maresme,2025,104,193.04,686286.31,3973.74,100,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080044,Alpens,43,Lluçanès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080057,l'Ametlla del Vallès,41,Vallès Oriental,2025,95,214.71,399914.41,2016.8,43.3862,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,43.3862,43.3862,100,,official,default,true
080060,Arenys de Mar,21,Maresme,2025,192,98.34,255461.75,2776.73,72.0182,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,72.0182,72.0182,100,,official,default,true
080076,Arenys de Munt,21,Maresme,2025,105,119.99,268549.49,2453.09,59.8244,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,59.8244,59.8244,100,,official,default,true
080082,Argençola,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080095,Argentona,21,Maresme,2025,108,137.05,331892.05,2955.41,78.7503,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,78.7503,78.7503,100,,official,default,true
080109,Artés,07,Bages,2025,49,114.26,142282.75,1300.74,16.4072,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,16.4072,16.4072,100,,official,default,true
080116,Avià,14,Berguedà,2025,17,90.33,135866.67,1582.91,27.0385,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,27.0385,27.0385,100,,official,default,true
080121,Avinyó,07,Bages,2025,18,120.27,115641.14,981.24,4.3694,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,4.3694,4.3694,100,,official,default,true
080137,Avinyonet del Penedès,03,Alt Penedès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080142,Aiguafreda,24,Osona,2025,31,111.2,175093.85,1835.18,36.5433,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,36.5433,36.5433,100,,official,default,true
